Ada;Šodolovci;Osječko-baranjska županija
Adamovec;Zagreb;Grad Zagreb
Adžamovci;Rešetari;Brodsko-posavska županija
Alaginci;Požega;Požeško-slavonska županija
Alan;Senj;Ličko-senjska županija
Aleksinica;Gospić;Ličko-senjska županija
Alilovci;Kaptol;Požeško-slavonska županija
Aljmaš;Erdut;Osječko-baranjska županija
Amatovci;Brestovac;Požeško-slavonska županija
Andigola;Čazma;Bjelovarsko-bilogorska županija
Andraševec;Oroslavje;Krapinsko-zagorska županija
Andrijaševci;Andrijaševci;Vukovarsko-srijemska županija
Andrijevac;Koška;Osječko-baranjska županija
Andrilovec;Dugo Selo;Zagrebačka županija
Antenal;Novigrad;Istarska županija
Antin;Tordinci;Vukovarsko-srijemska županija
Antolovec;Legrad;Koprivničko-križevačka županija
Antonci;Grožnjan;Istarska županija
Antonci;Poreč;Istarska županija
Antunovac;Antunovac;Osječko-baranjska županija
Antunovac;Lipik;Požeško-slavonska županija
Antunovac;Velika;Požeško-slavonska županija
Anžići;Višnjan;Istarska županija
Apatija;Ludbreg;Varaždinska županija
Apatovec;Križevci;Koprivničko-križevačka županija
Apševci;Nijemci;Vukovarsko-srijemska županija
Arapovac;Slunj;Karlovačka županija
Arbanija;Trogir;Splitsko-dalmatinska županija
Aržano;Cista Provo;Splitsko-dalmatinska županija
Ašikovci;Pleternica;Požeško-slavonska županija
Auguštanovec;Pokupsko;Zagrebačka županija
Babići;Kaštelir-Labinci;Istarska županija
Babići;Umag;Istarska županija
Babina Greda;Babina Greda;Vukovarsko-srijemska županija
Babina Rijeka;Donji Kukuruzari;Sisačko-moslavačka županija
Babinac;Ivanska;Bjelovarsko-bilogorska županija
Babinac;Velika Pisanica;Bjelovarsko-bilogorska županija
Babindub;Zadar;Zadarska županija
Babine Kuće;Mljet;Dubrovačko-neretvanska županija
Babinec;Cestica;Varaždinska županija
Babino Polje;Mljet;Dubrovačko-neretvanska županija
Babotok;Kapela;Bjelovarsko-bilogorska županija
Bačevac;Gradina;Virovitičko-podravska županija
Bačkovica;Velika Pisanica;Bjelovarsko-bilogorska županija
